nationality,height,weight,gold,silver,bronze,medals
SVK,28.429999999999996,1073.0,1.0,0.0,0.0,1.0
MAD,3.39,130.0,0.0,0.0,0.0,0.0
KSA,10.370000000000001,390.0,0.0,0.0,0.0,0.0
LTU,28.529999999999998,1088.0,0.0,0.0,0.0,0.0
CAF,3.14,121.0,0.0,0.0,0.0,0.0
CAY,3.53190041114664,141.71773825809393,0.0,0.0,0.0,0.0
CGO,3.6399999999999997,190.0,0.0,0.0,0.0,0.0
CHA,3.46,103.0,0.0,0.0,0.0,0.0
CHI,17.150000000000002,669.0,0.0,0.0,0.0,0.0
CIV,6.93,259.0,0.0,0.0,0.0,0.0
CMR,3.4299999999999997,158.0,0.0,0.0,0.0,0.0
COD,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
COK,3.51,141.0,0.0,0.0,0.0,0.0
COL,56.65190041114664,2201.0,1.0,0.0,0.0,1.0
COM,3.34,104.0,0.0,0.0,0.0,0.0
CPV,3.6,147.0,0.0,0.0,0.0,0.0
CRC,5.25,244.0,0.0,0.0,0.0,0.0
CRO,18.11,773.0,2.0,0.0,1.0,3.0
CUB,73.85190041114664,2981.717738258094,0.0,0.0,1.0,1.0
CYP,12.899999999999999,529.0,0.0,0.0,0.0,0.0
CZE,45.96999999999999,1997.0,0.0,0.0,0.0,0.0
DJI,8.6,318.0,0.0,0.0,0.0,0.0
DMA,3.58,148.0,0.0,0.0,0.0,0.0
DOM,22.169999999999998,790.0,0.0,0.0,0.0,0.0
CAM,3.1100000000000003,110.0,0.0,0.0,0.0,0.0
BUR,3.5700000000000003,147.0,0.0,0.0,0.0,0.0
EGY,7.005701233439921,268.15321477428176,0.0,0.0,0.0,0.0
BRU,3.0700000000000003,112.0,0.0,0.0,0.0,0.0
AND,1.78,62.0,0.0,0.0,0.0,0.0
ANG,3.37,120.0,0.0,0.0,0.0,0.0
ANT,12.65190041114664,523.717738258094,0.0,0.0,0.0,0.0
ARG,22.760000000000005,960.0,0.0,0.0,0.0,0.0
ARM,8.61,300.0,0.0,0.0,0.0,0.0
ASA,3.4699999999999998,136.0,0.0,0.0,0.0,0.0
AUT,10.780000000000001,453.0,0.0,0.0,0.0,0.0
AZE,7.11,293.0,0.0,0.0,0.0,0.0
BAH,45.94090452261305,1778.0483356133154,1.0,0.0,5.0,6.0
BAN,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
BAR,10.92,439.0,0.0,0.0,0.0,0.0
BEL,44.59,1661.0,1.0,0.0,0.0,1.0
BEN,3.5300000000000002,140.0,0.0,0.0,0.0,0.0
BER,3.6500000000000004,156.0,0.0,0.0,0.0,0.0
BIH,9.31,495.0,0.0,0.0,0.0,0.0
BIZ,3.71,147.0,0.0,0.0,0.0,0.0
BOL,9.98,335.0,0.0,0.0,0.0,0.0
BOT,15.90330287802648,612.0241678066576,0.0,0.0,0.0,0.0
BRA,116.66,4398.0,1.0,0.0,0.0,1.0
ECU,26.219999999999995,911.0,0.0,0.0,0.0,0.0
ERI,19.11330287802648,701.0241678066576,0.0,0.0,0.0,0.0
LIB,3.63190041114664,147.71773825809393,0.0,0.0,0.0,0.0
IND,58.41710370031978,2189.4596443228456,0.0,0.0,0.0,0.0
IRL,29.11,1002.0,0.0,0.0,0.0,0.0
ISL,5.49,239.0,0.0,0.0,0.0,0.0
ISR,13.780000000000001,473.0,0.0,0.0,0.0,0.0
ISV,5.44,223.0,0.0,0.0,0.0,0.0
ITA,65.98190041114664,2297.717738258094,0.0,0.0,0.0,0.0
IVB,5.06190041114664,226.0,0.0,0.0,0.0,0.0
JOR,1.68,67.0,0.0,0.0,0.0,0.0
KAZ,43.58999999999999,1650.0,0.0,0.0,1.0,1.0
KGZ,8.129999999999999,265.0,0.0,0.0,0.0,0.0
KIR,3.19,116.0,0.0,0.0,0.0,0.0
KOR,25.89,888.0,0.0,0.0,0.0,0.0
KOS,3.54,125.0,0.0,0.0,0.0,0.0
ALB,3.54,131.0,0.0,0.0,0.0,0.0
LAO,3.49,120.0,0.0,0.0,0.0,0.0
LAT,23.379999999999995,935.0,0.0,0.0,0.0,0.0
LBA,1.75190041114664,67.71773825809393,0.0,0.0,0.0,0.0
LBR,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
LCA,5.32190041114664,157.71773825809393,0.0,0.0,0.0,0.0
LES,8.77760164458656,339.8709530323757,0.0,0.0,0.0,0.0
IRI,18.5,837.0,0.0,0.0,0.0,0.0
INA,3.36,132.0,0.0,0.0,0.0,0.0
ESA,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
HUN,33.209999999999994,1292.0,0.0,0.0,1.0,1.0
EST,32.65,1375.0,0.0,0.0,0.0,0.0
FIJ,3.5819004111466404,169.71773825809393,0.0,0.0,0.0,0.0
FIN,28.689999999999994,1125.0,0.0,0.0,0.0,0.0
FSM,3.06,127.0,0.0,0.0,0.0,0.0
GAB,3.2800000000000002,133.0,0.0,0.0,0.0,0.0
GAM,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
GBS,3.5700000000000003,161.0,0.0,0.0,0.0,0.0
GEO,8.88,386.0,0.0,0.0,0.0,0.0
GEQ,3.33,119.0,0.0,0.0,0.0,0.0
GER,160.60999999999996,6600.0,2.0,0.0,1.0,3.0
GHA,19.21140246687984,734.3064295485636,0.0,0.0,0.0,0.0
GRE,43.781900411146644,1678.717738258094,1.0,0.0,0.0,1.0
GUA,14.81,490.0,0.0,0.0,0.0,0.0
GUI,3.56,149.0,0.0,0.0,0.0,0.0
GUM,3.4299999999999997,120.0,0.0,0.0,0.0,0.0
GUY,6.6499999999999995,253.0,0.0,0.0,0.0,0.0
HAI,5.43190041114664,306.71773825809396,0.0,0.0,0.0,0.0
HKG,3.3,105.0,0.0,0.0,0.0,0.0
HON,1.89,89.0,0.0,0.0,0.0,0.0
ZIM,10.08,367.0,0.0,0.0,0.0,0.0
