nationality,height,weight,gold,silver,bronze,medals
BOT,1.8099999999999998,66.0,0.0,0.0,0.0,0.0
BRU,1.58,57.333333333333336,0.0,0.0,0.0,0.0
GAB,1.7416666666666665,75.33333333333333,0.0,0.0,0.0,0.0
LCA,1.7200000000000002,51.25,0.0,0.0,0.0,0.0
GBS,1.72,76.0,0.0,0.0,0.0,0.0
LAT,1.8036666666666663,77.1,0.0,0.0,0.0,0.0
LBR,,,0.0,0.0,0.0,0.0
BIH,1.8018181818181818,85.9090909090909,0.0,0.0,0.0,0.0
LES,1.77,69.0,0.0,0.0,0.0,0.0
LIB,1.6699999999999997,64.0,0.0,0.0,0.0,0.0
BIZ,1.8366666666666667,79.33333333333333,0.0,0.0,0.0,0.0
BEN,1.7933333333333332,78.83333333333333,0.0,0.0,0.0,0.0
BHU,1.64,55.0,0.0,0.0,0.0,0.0
BER,1.7462499999999999,69.5,0.0,0.0,0.0,0.0
LUX,1.7689999999999997,68.3,0.0,0.0,0.0,0.0
BAR,1.8018181818181822,74.81818181818181,0.0,0.0,0.0,0.0
BAN,1.65,69.0,0.0,0.0,0.0,0.0
ASA,1.7674999999999998,75.0,0.0,0.0,0.0,0.0
ARU,1.7428571428571427,68.71428571428571,0.0,0.0,0.0,0.0
ANT,1.7962500000000001,73.5,0.0,0.0,0.0,0.0
ANG,1.7623076923076926,73.34615384615384,0.0,0.0,0.0,0.0
AND,1.7120000000000002,64.0,0.0,0.0,0.0,0.0
BUR,1.81,84.4,0.0,0.0,0.0,0.0
CAF,1.634,64.25,0.0,0.0,0.0,0.0
CAM,1.6349999999999998,57.166666666666664,0.0,0.0,0.0,0.0
CAY,1.765,68.75,0.0,0.0,0.0,0.0
LIE,1.8033333333333335,77.66666666666667,0.0,0.0,0.0,0.0
MHL,1.6640000000000001,70.2,0.0,0.0,0.0,0.0
MAD,1.68,63.0,0.0,0.0,0.0,0.0
GUM,1.748,71.8,0.0,0.0,0.0,0.0
ESA,1.7049999999999998,71.0,0.0,0.0,0.0,0.0
ALB,1.7616666666666667,67.33333333333333,0.0,0.0,0.0,0.0
KIR,1.63,73.66666666666667,0.0,0.0,0.0,0.0
KGZ,1.7161111111111111,72.6470588235294,0.0,0.0,0.0,0.0
IVB,1.6500000000000001,69.0,0.0,0.0,0.0,0.0
ISV,1.8133333333333335,74.33333333333333,0.0,0.0,0.0,0.0
ISL,1.8162499999999997,79.375,0.0,0.0,0.0,0.0
IRQ,1.7953846153846156,74.88,0.0,0.0,0.0,0.0
HON,1.7830000000000001,77.96551724137932,0.0,0.0,0.0,0.0
HKG,1.708157894736842,63.86842105263158,0.0,0.0,0.0,0.0
HAI,1.7416666666666665,83.16666666666667,0.0,0.0,0.0,0.0
GUY,1.635,63.166666666666664,0.0,0.0,0.0,0.0
GUI,1.72,69.2,0.0,0.0,0.0,0.0
MAW,1.642,59.4,0.0,0.0,0.0,0.0
GUA,1.6928571428571426,64.52380952380952,0.0,0.0,0.0,0.0
GHA,1.7314285714285713,67.85714285714286,0.0,0.0,0.0,0.0
KSA,1.697272727272727,63.27272727272727,0.0,0.0,0.0,0.0
GEQ,1.665,59.5,0.0,0.0,0.0,0.0
LAO,1.734,60.2,0.0,0.0,0.0,0.0
LBA,1.76,63.0,0.0,0.0,0.0,0.0
MON,1.7733333333333334,71.33333333333333,0.0,0.0,0.0,0.0
MNE,1.825,83.6470588235294,0.0,0.0,0.0,0.0
MLT,1.7233333333333336,75.6,0.0,0.0,0.0,0.0
MLI,1.7566666666666668,70.4,0.0,0.0,0.0,0.0
MKD,1.7,61.833333333333336,0.0,0.0,0.0,0.0
MDV,,,0.0,0.0,0.0,0.0
FSM,1.546,65.0,0.0,0.0,0.0,0.0
ZAM,1.7666666666666668,67.5,0.0,0.0,0.0,0.0
ERI,1.7125,56.75,0.0,0.0,0.0,0.0
ECU,1.6997368421052632,65.18181818181819,0.0,0.0,0.0,0.0
SMR,1.748,75.6,0.0,0.0,0.0,0.0
SLE,,78.5,0.0,0.0,0.0,0.0
SKN,1.7750000000000001,73.83333333333333,0.0,0.0,0.0,0.0
SEY,1.7580000000000002,75.44444444444444,0.0,0.0,0.0,0.0
RWA,1.625,68.0,0.0,0.0,0.0,0.0
PNG,1.71,68.85714285714286,0.0,0.0,0.0,0.0
