,id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze
65,172435291,Albert Kibichii Rop,BRN,male,1992-07-17,1.77,63.0,athletics,0.0,0.0,0.0
66,635016740,Alberth Bravo,VEN,male,1987-08-29,1.99,88.0,athletics,0.0,0.0,0.0
67,804217525,Alberto Alvarez,MEX,male,1991-03-08,1.91,78.0,athletics,0.0,0.0,0.0
68,74286490,Aldemir da Silva Junior,BRA,male,1992-06-08,1.93,80.0,athletics,0.0,0.0,0.0
69,210525666,Aleixo-Platini Menga,GER,male,1987-09-29,1.82,82.0,athletics,0.0,0.0,0.0
70,151538357,Alejandra Ortega,MEX,female,1994-07-08,1.65,57.0,athletics,0.0,0.0,0.0
72,832551080,Aleksandra Romanova,KAZ,female,1990-12-26,1.68,58.0,athletics,0.0,0.0,0.0
75,191984367,Aleksi Ojala,FIN,male,1992-12-09,1.8,62.0,athletics,0.0,0.0,0.0
76,462274321,Alemu Bekele,BRN,male,1990-03-23,1.62,59.0,athletics,0.0,0.0,0.0
77,871020123,Alena Abramchuk,BLR,female,1988-02-14,1.82,95.0,athletics,0.0,0.0,0.0
79,30712954,Alena Sobaleva,BLR,female,1993-05-11,1.78,87.0,athletics,0.0,0.0,0.0
80,779596907,Alessandra Aguilar,ESP,female,1978-07-01,1.65,50.0,athletics,0.0,0.0,0.0
82,389711690,Alessia Trost,ITA,female,1993-03-08,1.88,70.0,athletics,0.0,0.0,0.0
83,527236860,Alex Amankwah,GHA,male,1992-03-02,1.75190041114664,67.71773825809393,athletics,0.0,0.0,0.0
84,24122998,Alex Beddoes,COK,male,1995-07-09,1.81,74.0,athletics,0.0,0.0,0.0
85,107240268,Alex Rose,SAM,male,1991-11-17,1.75190041114664,67.71773825809393,athletics,0.0,0.0,0.0
86,636907352,Alex Wright,IRL,male,1990-12-19,1.75,62.0,athletics,0.0,0.0,0.0
89,515896035,Alexander Hartmann,AUS,male,1993-03-07,1.98,91.0,athletics,0.0,0.0,0.0
90,604407494,Alexander John,GER,male,1986-05-03,1.85,84.0,athletics,0.0,0.0,0.0
91,41863727,Alexander Kosenkow,GER,male,1977-03-14,1.78,74.0,athletics,0.0,0.0,0.0
