,Yearly,Daily,Weekly,Monthly,Quarterly
Working,65.5,21.4,55.9,62.5,64.2
Unemployed,54.4,20.0,45.2,51.2,52.8
Retired,23.5,10.3,20.4,22.1,22.7
Student,85.2,36.7,78.2,82.9,84.3
Housework,27.8,12.5,24.7,26.1,26.9
Others,38.7,14.4,32.9,35.2,37.4
